NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-06,0.05,0.0,47,62,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-07,0.06,0.0,53,61,48
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-08,0.00,0.0,47,53,37
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-09,0.61,0.2,37,40,33
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-10,0.00,0.0,38,50,30
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-11,0.00,0.0,41,50,30
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-12,0.50,0.3,40,46,24
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-13,0.00,0.0,28,35,22
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-14,0.00,0.0,41,55,33
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-15,0.00,0.0,47,58,38
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-16,0.00,0.0,52,62,41
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-17,0.06,0.0,49,55,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-18,0.00,0.0,54,63,46
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-19,0.18,0.0,52,60,46
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-20,0.00,0.0,56,62,46
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-21,0.00,0.0,52,63,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-22,0.00,0.0,53,60,46
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-23,0.07,0.0,44,47,39
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-24,0.93,0.0,44,47,41
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-25,0.03,0.0,49,57,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-26,0.00,0.0,50,54,42
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-27,0.00,0.0,43,47,29
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-28,0.00,0.0,30,34,23
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-29,0.00,0.0,30,38,24
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-30,0.00,0.0,35,44,27
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-03-31,0.05,0.0,49,57,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-01,0.08,0.0,54,59,43
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-02,0.00,0.0,45,52,39
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-03,0.10,0.0,43,46,38
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-04,0.00,0.0,46,55,39
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-05,0.06,0.0,47,53,38
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-06,0.54,0.0,49,54,47
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-07,0.45,0.0,48,52,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-08,0.04,0.0,53,63,48
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-09,0.02,0.0,51,57,47
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-10,0.00,0.0,48,52,43
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-11,0.00,0.0,47,56,39
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-12,0.02,0.0,54,72,47
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-13,0.00,0.0,55,65,46
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-14,0.08,0.0,60,70,53
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-15,0.01,0.0,59,67,46
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-16,0.09,0.0,54,62,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-17,0.00,0.0,47,52,40
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-18,0.96,0.0,44,52,37
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-19,0.59,0.0,46,52,40
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-20,0.00,0.0,48,60,41
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-21,0.00,0.0,48,56,40
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-22,0.00,0.0,57,70,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-23,0.00,0.0,55,59,48
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-24,0.00,0.0,52,60,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-25,0.00,0.0,49,55,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-26,0.06,0.0,54,60,51
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-27,0.00,0.0,53,58,41
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-28,0.00,0.0,47,58,40
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-29,0.00,0.0,51,63,42
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-04-30,0.00,0.0,54,66,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-01,0.00,0.0,53,63,42
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-02,0.51,0.0,54,55,50
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-03,0.00,0.0,54,62,49
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-04,0.04,0.0,53,66,49
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-05,0.00,0.0,60,70,54
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-06,0.85,0.0,55,58,48
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-07,0.96,0.0,49,51,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-08,0.00,0.0,50,58,44
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-09,0.00,0.0,56,70,45
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-10,0.00,0.0,60,73,50
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-11,0.00,0.0,60,74,53
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-12,0.00,0.0,61,71,53
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-13,0.00,0.0,62,75,57
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-14,0.15,0.0,62,70,57
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-15,0.00,0.0,62,73,55
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-16,0.09,0.0,63,69,59
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-17,0.00,0.0,67,79,57
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-18,0.00,0.0,63,70,56
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-19,1.04,0.0,57,63,54
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-20,0.49,0.0,58,69,52
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-21,0.00,0.0,68,87,59
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-22,0.00,0.0,73,84,65
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-23,0.00,0.0,70,75,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-24,0.00,0.0,62,68,54
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-25,0.00,0.0,58,65,51
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-26,0.00,0.0,59,67,52
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-27,0.05,0.0,65,73,62
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-28,0.16,0.0,67,75,62
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-29,0.00,0.0,69,74,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-30,0.00,0.0,69,80,60
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-05-31,0.00,0.0,79,94,63
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-01,1.36,0.0,64,67,59
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-02,0.30,0.0,66,75,60
