NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-22,1.03,0.0,58,62,45
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-23,0.00,0.0,37,45,28
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-24,0.57,0.0,31,37,29
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-25,0.17,0.0,33,35,29
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-26,0.00,0.0,30,37,24
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-27,0.00,0.0,33,49,21
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-02-28,0.00,0.0,38,52,26
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-01,0.00,0.0,47,66,37
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-02,0.00,0.0,53,67,38
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-03,0.00,0.0,49,62,35
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-04,0.00,0.0,40,54,30
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-05,0.00,0.0,56,76,45
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-06,0.58,0.0,66,70,56
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-07,0.83,0.0,56,65,35
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-08,0.00,0.0,37,42,34
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-09,0.00,0.0,40,50,36
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-10,0.00,0.0,42,53,31
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-11,0.09,2.3,43,55,27
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-12,0.00,0.0,24,28,19
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-13,0.00,0.0,29,51,15
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-14,0.00,0.0,47,65,36
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-15,0.00,0.0,54,68,42
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-16,0.00,0.0,56,70,40
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-17,0.00,0.0,58,73,43
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-18,0.09,0.0,60,65,50
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-19,0.21,0.0,52,58,41
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-20,0.01,0.0,47,62,39
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-21,0.00,0.0,54,71,40
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-22,0.00,0.0,57,68,51
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-23,0.11,0.0,64,70,49
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-24,0.00,0.0,49,56,42
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-25,0.07,0.0,43,46,37
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-26,0.00,0.0,38,39,30
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-27,0.00,0.0,33,42,27
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-28,0.00,0.0,32,43,20
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-29,0.00,0.0,35,44,31
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-30,0.00,0.0,57,80,43
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-03-31,0.15,0.0,56,62,37
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-01,0.02,0.0,38,44,33
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-02,0.00,0.0,39,51,31
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-03,0.00,0.0,46,57,38
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-04,0.00,0.0,49,59,44
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-05,0.27,0.0,50,55,43
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-06,0.40,0.0,50,57,42
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-07,0.01,0.0,48,54,37
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-08,0.06,0.0,42,49,35
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-09,0.01,0.0,38,42,35
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-10,0.00,0.0,44,62,29
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-11,0.18,0.0,58,63,50
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-12,0.00,0.0,59,70,51
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-13,1.13,0.0,65,70,59
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-14,0.12,0.0,55,61,41
